stress_case,method,tower_count,stop_count,n,makespan_mean,makespan_sd,total_vehicle_distance_mean,total_vehicle_distance_sd,expected_energy_mean,expected_energy_sd,energy_violation_rate_mean,energy_violation_rate_sd,infeasible_sortie_rate_mean,infeasible_sortie_rate_sd,risk_weighted_completion_time_mean,risk_weighted_completion_time_sd,top_risk_coverage_mean,top_risk_coverage_sd,missed_value_mean,missed_value_sd,solver_runtime_mean,solver_runtime_sd,objective_value_mean,objective_value_sd,alns_accepted_moves_mean,alns_accepted_moves_sd,alns_improving_moves_mean,alns_improving_moves_sd,alns_rejected_moves_mean,alns_rejected_moves_sd,alns_best_updates_mean,alns_best_updates_sd
sparse_high_wind,alns_fixed,75,18,10,355.336349,8.290372,643.930379,49.223195,16100.173937,251.894228,0.745333,0.02911,0.745333,0.02911,267138.982421,43851.761915,0.222222,0.111111,2967.58304,230.512322,0.073149,0.012073,8464.924499,159.646378,125.6,3.596294,23.0,6.146363,14.4,3.596294,16.2,4.491968
sparse_high_wind,alns_pinn_full,75,18,10,357.835463,11.064965,685.322829,54.511366,16102.154143,248.432057,0.554667,0.016866,0.554667,0.016866,204104.883147,35344.470309,0.583333,0.047213,3229.62012,251.468865,0.088674,0.011932,10228.688385,531.348896,110.9,2.998148,21.0,5.497474,29.1,2.998148,13.6,2.319004
sparse_high_wind,no_energy_repair,75,18,10,357.863842,11.065386,685.856957,54.142529,16102.154143,248.432057,0.554667,0.016866,0.554667,0.016866,204099.494838,35353.733034,0.583333,0.047213,3229.62012,251.468865,0.090421,0.010745,10229.219313,531.20551,123.6,3.204164,19.6,4.993329,16.4,3.204164,14.9,2.960856
sparse_high_wind,no_risk_value,75,18,10,349.717438,13.36582,730.721797,50.001214,16102.154143,248.432057,0.554667,0.016866,0.554667,0.016866,240090.353371,43113.537535,0.85,0.069537,3229.62012,251.468865,0.016261,0.00133,13465.917197,545.07488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse_high_wind,no_sync_repair,75,18,10,357.863842,11.065386,685.856957,54.142529,16102.154143,248.432057,0.554667,0.016866,0.554667,0.016866,204099.494838,35353.733034,0.583333,0.047213,3229.62012,251.468865,0.086397,0.010573,10229.219313,531.20551,123.9,3.212822,15.6,2.91357,16.1,3.212822,14.3,2.540779
sparse_high_wind,no_uq,75,18,10,348.554856,12.376636,718.687266,43.005831,16083.282098,248.043974,0.745333,0.02911,0.745333,0.02911,238550.397756,43219.804083,0.872222,0.052705,2967.58304,230.512322,0.015314,0.001689,13477.340804,572.695503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tight_battery,alns_fixed,75,24,10,241.139915,5.294642,792.942195,58.960379,10221.246055,192.738892,0.741333,0.021035,0.741333,0.021035,179414.326413,28189.318236,0.244445,0.079436,2156.05711,181.666629,0.114042,0.010165,5704.533043,111.503093,126.1,3.573047,20.1,7.030884,13.9,3.573047,14.4,5.738757
tight_battery,alns_pinn_full,75,24,10,243.15844,4.087089,876.008797,51.64172,10241.748876,194.34469,0.465333,0.033525,0.465333,0.033525,132690.628284,20135.184986,0.716667,0.061139,2687.87936,304.912597,0.135773,0.007301,7029.480663,512.803513,112.5,3.439961,20.6,5.985167,27.5,3.439961,13.6,2.590581
tight_battery,no_energy_repair,75,24,10,243.15844,4.087089,876.008797,51.64172,10241.748876,194.34469,0.465333,0.033525,0.465333,0.033525,132690.628284,20135.184986,0.716667,0.061139,2687.87936,304.912597,0.139981,0.009439,7029.480663,512.803513,124.3,2.710064,20.4,4.880801,15.7,2.710064,13.5,2.12132
tight_battery,no_risk_value,75,24,10,238.119123,8.502615,900.073049,49.408743,10241.748876,194.34469,0.465333,0.033525,0.465333,0.033525,146414.58964,23039.4207,0.838889,0.076129,2687.87936,304.912597,0.028241,0.002327,8562.677992,525.230895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tight_battery,no_sync_repair,75,24,10,243.15844,4.087089,876.008797,51.64172,10241.748876,194.34469,0.465333,0.033525,0.465333,0.033525,132690.628284,20135.184986,0.716667,0.061139,2687.87936,304.912597,0.139639,0.015352,7029.480663,512.803513,122.4,1.95505,14.8,4.442222,17.6,1.95505,12.0,2.494438
tight_battery,no_uq,75,24,10,236.329674,8.825708,923.048538,69.841931,10217.627913,194.704541,0.741333,0.021035,0.741333,0.021035,144644.189644,22546.649188,0.877778,0.068293,2154.10462,183.408638,0.026968,0.002193,8534.279481,519.97972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
very_sparse_corridor,alns_fixed,100,18,10,749.508046,11.507496,828.932494,78.359693,34142.118877,429.979683,0.732,0.026998,0.732,0.026998,663244.894736,68086.039493,0.288,0.059029,4665.45957,204.049437,0.131286,0.008086,23158.358064,259.28972,126.3,2.710064,24.2,5.349974,13.7,2.710064,16.9,3.541814
very_sparse_corridor,alns_pinn_full,100,18,10,746.528375,15.895336,795.844315,96.954606,34142.496921,427.932021,0.646,0.008433,0.646,0.008433,494616.974511,43582.082159,0.556,0.04402,4852.02341,254.51492,0.160708,0.014746,26301.328744,732.495126,109.9,3.142893,20.0,5.734884,30.1,3.142893,14.7,3.683296
very_sparse_corridor,no_energy_repair,100,18,10,746.528375,15.895336,795.844315,96.954606,34142.496921,427.932021,0.646,0.008433,0.646,0.008433,494616.974511,43582.082159,0.556,0.04402,4852.02341,254.51492,0.152481,0.010847,26301.328744,732.495126,124.2,1.47573,19.8,3.675746,15.8,1.47573,17.0,3.366502
very_sparse_corridor,no_risk_value,100,18,10,745.718334,15.438982,906.071475,58.982453,34142.496921,427.932021,0.646,0.008433,0.646,0.008433,608594.471068,56509.844084,0.872,0.031552,4852.02341,254.51492,0.029608,0.002705,37337.070158,957.534404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
very_sparse_corridor,no_sync_repair,100,18,10,746.528375,15.895336,795.844315,96.954606,34142.496921,427.932021,0.646,0.008433,0.646,0.008433,494616.974511,43582.082159,0.556,0.04402,4852.02341,254.51492,0.154862,0.007923,26301.328744,732.495126,123.7,2.057507,16.0,3.091206,16.3,2.057507,15.6,2.75681
very_sparse_corridor,no_uq,100,18,10,741.919217,12.290451,905.063105,51.171072,34130.258392,429.323742,0.731,0.02846,0.731,0.02846,606032.844759,55963.048263,0.908,0.026998,4665.45957,204.049437,0.027159,0.002727,37533.847283,937.056162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
