size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
CASE,0,200,100,4,3,0,high,alns_fixed,kmeans,3,CASE200_P100_seed0_high_kmeans100,not_milp,20000,600,0.97,389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.717551,5654.827349,8461.907349,0.0,0.0,335187.183408,0.18,0,0.013734,10919.257176122406,0.0,0.0
CASE,0,200,100,4,3,0,high,alns_pinn,kmeans,3,CASE200_P100_seed0_high_kmeans100,not_milp,20000,600,0.97,389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.696093,6491.334547,8461.907349,0.0,0.0,222864.604585,0.88,0,0.191226,12942.062340122395,0.0,0.0
CASE,0,200,100,4,3,0,high,alns_pinn_full,kmeans,3,CASE200_P100_seed0_high_kmeans100,not_milp,20000,600,0.97,389,80.0,17.0,0.0,17.0,81.0,200.0,2880.0,22.0,11.0,14.0,15.0,18.0,39.0,41.0,136.878578,6546.968981,8461.907349,0.0,0.0,219860.735679,0.88,0,0.413182,12867.284690122402,0.0,0.0
CASE,0,200,100,4,3,1,high,alns_fixed,kmeans,3,CASE200_P100_seed1_high_kmeans100,not_milp,20000,598,0.9701,299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.963538,5304.001816,8709.585291,0.005,0.005,368937.311104,0.22,0,0.015011,10446.5583507856,0.0,0.0
CASE,0,200,100,4,3,1,high,alns_pinn,kmeans,3,CASE200_P100_seed1_high_kmeans100,not_milp,20000,598,0.9701,299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.871383,6104.41019,8709.585291,0.005,0.005,232315.202173,0.94,0,0.184156,12406.094385785604,0.0,0.0
CASE,0,200,100,4,3,1,high,alns_pinn_full,kmeans,3,CASE200_P100_seed1_high_kmeans100,not_milp,20000,598,0.9701,299,80.0,13.0,0.0,6.0,81.0,200.0,2880.0,23.0,12.0,15.0,17.0,13.0,33.0,47.0,130.865577,6820.340294,8711.447608,0.0,0.0,230381.688721,0.92,0,0.418454,12304.0918355056,0.0,0.0
CASE,0,200,100,4,3,2,high,alns_fixed,kmeans,3,CASE200_P100_seed2_high_kmeans100,not_milp,20000,584,0.9708,373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.007037,4855.664966,9334.766532,0.04,0.04,364106.318363,0.16,163.8907,0.013876,11566.004848632801,0.0,0.0
CASE,0,200,100,4,3,2,high,alns_pinn,kmeans,3,CASE200_P100_seed2_high_kmeans100,not_milp,20000,584,0.9708,373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.502905,6041.515779,9334.766532,0.04,0.04,231987.532985,0.88,163.8907,0.189706,14263.718245632801,0.0,0.0
CASE,0,200,100,4,3,2,high,alns_pinn_full,kmeans,3,CASE200_P100_seed2_high_kmeans100,not_milp,20000,584,0.9708,373,80.0,18.0,0.0,18.0,81.0,200.0,2880.0,15.0,10.0,25.0,16.0,14.0,38.0,42.0,150.789255,6413.799711,9350.102573,0.005,0.005,227735.22878,0.9,163.8907,0.408338,13823.144512832794,0.0,0.0
CASE,0,200,100,4,3,3,high,alns_fixed,kmeans,3,CASE200_P100_seed3_high_kmeans100,not_milp,20000,600,0.97,341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.351756,5450.561234,8669.307611,0.0,0.0,402647.24908,0.14,0,0.013697,10940.357332941598,0.0,0.0
CASE,0,200,100,4,3,3,high,alns_pinn,kmeans,3,CASE200_P100_seed3_high_kmeans100,not_milp,20000,600,0.97,341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.256414,6596.957628,8669.307611,0.0,0.0,258601.840466,0.86,0,0.193806,12735.304550941602,0.0,0.0
CASE,0,200,100,4,3,3,high,alns_pinn_full,kmeans,3,CASE200_P100_seed3_high_kmeans100,not_milp,20000,600,0.97,341,80.0,16.0,0.0,16.0,81.0,200.0,2880.0,17.0,11.0,21.0,12.0,19.0,39.0,41.0,138.248832,6428.998986,8669.307611,0.0,0.0,256178.13798,0.9,0,0.428719,12662.051631941596,0.0,0.0
CASE,0,200,100,4,3,4,high,alns_fixed,kmeans,3,CASE200_P100_seed4_high_kmeans100,not_milp,20000,594,0.9703,342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.326581,5692.482868,8689.053567,0.015,0.015,367372.853369,0.24,0,0.01345,11302.2760199128,0.0,0.0
CASE,0,200,100,4,3,4,high,alns_pinn,kmeans,3,CASE200_P100_seed4_high_kmeans100,not_milp,20000,594,0.9703,342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.659844,6335.845921,8687.338826,0.015,0.015,216585.632588,0.88,0,0.186008,12576.490963912795,0.0,0.0
CASE,0,200,100,4,3,4,high,alns_pinn_full,kmeans,3,CASE200_P100_seed4_high_kmeans100,not_milp,20000,594,0.9703,342,80.0,17.0,0.0,17.0,81.0,200.0,2880.0,20.0,18.0,15.0,8.0,19.0,45.0,35.0,139.620885,6646.136262,8692.835605,0.0,0.0,214279.169147,0.9,0,0.413156,12465.0145756328,0.0,0.0
